01:33:25.711 [main] INFO  - Get the website 
01:33:30.969 [main] INFO  - select auto
01:54:03.760 [main] INFO  - Get the website 
01:54:09.360 [main] INFO  -  1 
01:54:12.502 [main] INFO  -  2 
01:54:15.622 [main] INFO  -  3 
01:54:18.810 [main] INFO  -  4 
01:54:24.780 [main] INFO  -  switching 
01:54:24.792 [main] INFO  -  5 
01:54:27.963 [main] INFO  -  6 
01:54:31.067 [main] INFO  -  7 
01:54:34.412 [main] INFO  -  8 
01:54:37.503 [main] INFO  -  9 10 11 
01:54:40.797 [main] INFO  -  12 
01:54:43.921 [main] INFO  -  13 
01:54:47.041 [main] INFO  -  14 
01:54:50.152 [main] INFO  -  15 
01:54:53.275 [main] INFO  -  16 
01:54:56.362 [main] INFO  -  17 
01:54:59.481 [main] INFO  -  18 
01:55:02.577 [main] INFO  -  19 
01:55:05.680 [main] INFO  -  20 
12:45:27.701 [main] INFO  - Get the website 
12:45:33.410 [main] INFO  -  1 
12:45:36.645 [main] INFO  -  2 
12:45:39.772 [main] INFO  -  3 
12:45:42.950 [main] INFO  -  4 
12:45:47.300 [main] INFO  -  switching 
12:45:47.316 [main] INFO  -  5 
12:45:50.493 [main] INFO  -  6 
12:45:53.595 [main] INFO  -  7 
12:45:56.691 [main] INFO  -  8 
12:45:59.781 [main] INFO  -  9 10 11 
12:46:03.041 [main] INFO  -  12 
12:46:06.158 [main] INFO  -  13 
12:46:09.266 [main] INFO  -  14 
12:46:12.366 [main] INFO  -  15 
12:46:15.479 [main] INFO  -  16 
12:46:18.561 [main] INFO  -  17 
12:46:21.727 [main] INFO  -  18 
12:46:24.821 [main] INFO  -  19 
12:46:27.922 [main] INFO  -  20 
